title,users,random_offset_days,emoji,is_recurring,interval_type,interval_value,specific_day
Städa lilla badrummet,Marcus,7,🚿,True,weeks,1,
Städa stora badrummet,Marcus,7,🛁,True,weeks,1,
Rengör ugnen,Marcus,60,🔥,True,months,2,
Rengör diskmaskin,Marcus,30,🍽️,True,months,1,
Rengör kaffemaskin,Marcus,30,☕,True,months,1,
Gå igenom viktiga papper,Vida,180,📁,True,months,6,
Sortera nyinkomna papper,Vida,30,📄,True,months,1,
Rensa i förrådet,Vida;Marcus,180,📦,True,months,6,
Bokslut,Vida;Marcus,30,💰,True,months,1,24
Ta hand om cyklar,Marcus,21,🚲,True,weeks,3,
Dammtorka,Marcus,7,🧹,True,weeks,1,
Kontrollera backup,Marcus,180,💾,True,months,6,
Testa brandvarnare,Marcus,180,🚨,True,months,6,
Frosta av frys,Vida,365,❄️,True,years,1,
Byta lakan & handdukar,Vida,7,🛏️,True,weeks,1,6
Inventera kylskåp,Vida,30,🧊,True,months,1,
Inventera frys,Vida,90,❄️,True,months,3,
Rengör skafferi,Vida,90,🥫,True,months,3,
Skruva möbler,Marcus,175,🪛,True,weeks,25,
Växter översikt,Vida,90,🪴,True,months,3,
Rengör Stina,Marcus,21,🤖,True,weeks,3,
Kolla nästa klädstorlek för Valentin,Vida,30,👶,True,months,1,
Inventera skötbord & apotek,Vida,21,🍼,True,weeks,3,
Byt filter i Stina,Marcus,90,🧹,True,months,3,
